TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,
,,,,,,,PEAK 1,,,,,,,,,,PEAK 1 CONFIRMINGS,,
CompoundName,ExperimentType,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,Confirm Precursor,Confirm Extracted,Confirm Energy
1-palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine M0,XIC,C42H80NO8P,Metabolomics,,ESI,5000,,758.56943,M+H,+,1,2.8,60,,40,,,,
1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphocholine M0,XIC,C46H84NO8P,Metabolomics,,ESI,5000,,810.60073,M+H,+,1,2.8,60,,40,,,,
"1,3-Bisphosphoglycerate M0",XIC,C3H8O10P2,Metabolomics,,ESI,5000,,264.95199,M-H,-,1,19.11,60,,40,,,,
"1,3-Bisphosphoglycerate M1",XIC,C3H8O10P2,Metabolomics,,ESI,5000,,265.95534,M-H,-,1,19.11,60,,40,,,264.95199,0
"1,3-Bisphosphoglycerate M2",XIC,C3H8O10P2,Metabolomics,,ESI,5000,,266.95869,M-H,-,1,19.11,60,,40,,,264.95199,0
"1,3-Bisphosphoglycerate M3",XIC,C3H8O10P2,Metabolomics,,ESI,5000,,267.96204,M-H,-,1,19.11,60,,40,,,264.95199,0
1-Methylhistidine M0,XIC,C7H11N3O2,Metabolomics,,ESI,5000,,170.0924,M+H,+,1,8.2,60,,40,,,,
1-Methylhistidine M1,XIC,C7H11N3O3,Metabolomics,,ESI,5000,,171.09575,M+H,+,1,8.2,60,,40,,,170.0924,0
1-Methylhistidine M2,XIC,C7H11N3O4,Metabolomics,,ESI,5000,,172.0991,M+H,+,1,8.2,60,,40,,,170.0924,0
1-Methylhistidine M3,XIC,C7H11N3O5,Metabolomics,,ESI,5000,,173.10245,M+H,+,1,8.2,60,,40,,,170.0924,0
