,Name,Formula,Adduct,MZ,Expected.RT,Actual.RT,Standard,3rd party,confirmed MS2,
1,1-palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine,C42H80NO8P,M+H,758.56943,5.5,NA,,,no,
2,1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,C46H84NO8P,M+H,810.60073,6,NA,,,no,
3,2-DG,,,0,,,yes,,,
4,2-HG,C5H8O5,M-H,147.02985,16.8,16.7,yes,,yes,
5,2-Aminoadipate,,,,,,,,yes,
6,2-Hydroxyisocaproate,,,0,,,,yes,,
7,2-Ketoisocaproic Acid,C6H10O3,M-H,129.05572,9.5,NA,,yes,,
8,2-Oxoadipate,C6H8O5,M-H,159.02988,17.3,16.7,,,,
9,2-Oxosuccinamate,C4H5NO4,M-H,130.01456,10,10.4,,,,
10,3-Phosphoglycerate,C3H7O7P,M-H,184.98573,20,19.1,yes,,yes,
11,4-Hydroxyphenyllactate,C9H10O4,M-H,181.05071,11,11.3,,,,
12,5'-Methyladenosine,C11H15N5O3S,M+H,298.09678,3.2,3.3,,,yes,
13,5-Oxoproline,C5H7NO3,M-H,128.03529,10.9,11,,,yes,
14,"5,6-Dihydro UTP",C9H17N2O15P3,M-H,484.9769,22.3,22.3,yes,,yes,
15,6-Phosphogluconate,C6H12O10P,M-H,274.00953,17.5,NA,,,,
16,A,C10H13N5O4,M+H,268.10409,4.8,4.9,yes,,yes,
17,Acetoacetate,,,0,,,yes,,,
18,Acetylcarnitine,C9H17NO4,H-Gain,204.12313,6,6.1,,,yes,
19,Acetylcholine,C7H15NO2,H-Gain,146.11762,8.3,8.1,,,yes,
20,Acetyl-CoA,C23H38N7O17P3S,M+H,810.13305,18,18,yes,,yes,
21,Aconitic acid,C6H6O6,M-H,173.00906,19,18.8,yes,,,
22,Adenine,C5H5N5,M+H,136.06184,5.8,5.8,yes,,yes,
23,ADP,C10H15N5O10P2,H-Loss,426.02243,20.5,20.1,yes,,yes,
24,a-Ketoglutarate,C5H6O5,H-Loss,145.01424,16.8,16.8,yes,,yes,
25,Alanine,C3H7NO2,H-Gain,90.05499,8,8.4,yes,,yes,
26,Allantoin,C4H6N4O3,M-H,157.03667,6.06,6.9,,,,check other database
27,AMP,C10H14N5O7P,H-Gain,348.07017,17.5,16.8,yes,,yes,
28,Arginine,C6H14N4O2,H-Gain,175.119,9.6,9.8,yes,,yes,
29,Argininosuccinate,C10H18N4O6,M-H,289.11539,14.5,15.3,,,yes,
30,Ascorbic acid (Vitamin C),C6H8O6,M-H,175.02475,19,18.6,yes,,,
31,Asparagine,C4H8N2O3,M-H,131.04618,9.4,9.9,yes,,yes,
32,Aspartic Acid,C4H7NO4,M-H,132.03018,13.9,14,yes,,yes,
33,ATP,C10H16N5O13P3,M-H,505.98842,23.2,23.4,yes,,yes,
34,Biliverdin,C33H34N4O6,M+H,583.25511,,,yes,,,
35,Butyric Acid,C4H8O2,M-H,87.04515,,,yes,,,
36,C,C9H13N3O5,M+H,244.09293,5.7,6.1,yes,,yes,
37,Carbamoyl-phosphate,CH4NO5P,M-H,139.97543,14.4,14.4,yes,,,
38,Carnitine,C7H15NO3,M+H,162.11248,7.8,7.8,,yes,yes,
39,CDP,C9H15N3O11P2,M-H,402.01123,19.9,19.5,,yes,yes,
40,CDP-choline,C14H26N4O11P2,NA,#VALUE!,13.5,NA,,,yes,
41,CDP-ethanolamine,C11H20N4O11P2,M-H,445.05331,15,15.3,,yes,,check other database
42,Choline,C5H13NO,M+H,104.10699,8.6,8.4,yes,,yes,
43,Cinnamic acid,C9H8O2,M-H,147.04517,7,7.6,,,yes,
44,Citraconic acid,C5H6O4,M-H,129.01933,16,16.7,,,yes,
45,Citrate,C6H8O7,H-Loss,191.01971,17.5,18.9,yes,,yes,
46,Citrulline,C6H13N3O3,M+H,176.10299,9.2,9.2,,,yes,
47,CMP,C9H14N3O8P,M-H,322.04467,17,16.7,,yes,yes,
48,Creatine,C4H9N3O2,M+H,132.07677,7,7.5,,,yes,
49,Creatinine,C4H7N3O1,M+H,114.06625,3.9,4.2,,,yes,
50,CTP,C9H16N3O14P3,M-H,481.97727,22.2,22.3,yes,,yes,
51,Cystathionine,C7H14N2O4S,M+H,223.07483,13.7,13.7,,,,
52,Cystine,C6H12N2O4S2,NA,241.0313,15.8,16.1,yes,,yes,
53,Cysteine Sulfinic Acid,C3H7NO4S,NA,#VALUE!,8.01,NA,,yes,,
54,Cytosine,C4H5N3O,M+H,112.05056,5.2,5.2,yes,yes,,
55,dA,C10H13N5O3,M+H,252.10803,3.7,3.8,,yes,yes,
56,dAMP,C10H13N5O4,NA,#VALUE!,16.8,NA,,yes,yes,
57,dATP,C10H16N5O12P3,NA,489.99323,24,23.5,,yes,yes,
58,dC,C9H13N3O4,NA,226.08351,4.2,4.1,,yes,yes,
59,dCDP,C9H15N3O10P2,NA,386.01685,19.7,19.5,,yes,yes,
60,dCMP,C9H14N3O7P,M-H,306.04901,16.8,16.7,,yes,yes,
61,dCTP,C9H16N3O13P3,NA,465.98251,22.8,22.4,,yes,yes,
62,dG,C10H13N5O4,M+H,268.10411,4.7,4.9,,yes,yes,
63,dGDP,C10H15N5O10P2,M-H,426.02251,21,21.7,,yes,yes,
64,dGMP,C10H14N5O7P,M-H,#VALUE!,18,NA,,yes,,
65,dGTP,C10H16N5O13P3,NA,#VALUE!,21.2,NA,,yes,yes,
66,Dihydroorotate,C5H6N2O4,M-H,157.02546,11,11,,,yes,
67,Dihydroxyacetone-P,C3H7O6P,M-H,168.99092,19,19.4,yes,,yes,
68,Dimethylglycine,C4H9NO2,M+H,104.07062,8,7.9,,yes,,
69,dTMP,C10H14N2O6,M-H,321.04945,16.5,16.7,,yes,,
70,dTTP,C10H17N2O14P3,M-H,480.98174,23.8,22.6,,yes,yes,
71,dU,C9H12N2O5,M-H,227.06729,3.9,4.1,,,yes,
72,dUTP,C9H15N2O14P3,M-H,#VALUE!,23.2,NA,,,yes,
73,Folic Acid (Vitamin B9),C19H19N7O6,M-H,440.13272,20.6,19.8,yes,,yes,
74,Fructose,C6H12O6,M-H,179.05608,5.8,6,yes,,yes,
75,"Fructose-1,6-bisphosphate",C6H14O12P2,M-H,338.989,20.5,20.6,yes,yes,yes,
76,Fumarate,C4H4O4,M-H,115.00363,16.91,16.7,yes,yes,yes,
77,G,C10H13N5O5,M+H,284.09899,7.7,8,,yes,,
78,GABA,C4H9NO2,M+H,104.0706,8.9,9.1,,yes,yes,
79,GDP,C10H15N5O11P2,M-H,442.01729,22.75,21.4,,yes,yes,
80,GlcNAc,C8H15NO6,M+H,222.09729,5.4,5.4,,yes,yes,
81,GlcNAc-6-phosphate,C8H16NO9P,H-Loss,300.04895,17.1,16.7,,,,
82,Gluconic acid,C6H12O7,H-Loss,195.05099,12.1,12.8,yes,,yes,
83,Glucosamine,C6H13NO5,H-Gain,180.08664,6.4,7.2,yes,,yes,
84,Glucosamine-6-phosphate,C6H14NO8P,H-Loss,258.03828,16.4,16.2,,,,
85,Glucose,C6H12O6,H-Loss,179.05611,6.4,6.7,yes,,,
86,Glucose-6-phosphate,C6H13O9P,H-Loss,259.02231,16.6,16.7,yes,,yes,
87,Glucuronic Acid,C6H10O7,M-H,193.0356,13,12.9,yes,,yes,
88,Glutamate,C5H9NO4,H-Loss,146.04581,13.5,14.3,yes,,yes,
89,Glutamine,C5H10N2O3,H-Loss,145.06178,9.3,9.4,yes,,yes,
90,Glyceraldehyde-3-phosphate,C3H7O6P,H-Loss,168.99099,20.3,20.7,yes,,,
91,Glycerol,C3H8O3,H-Loss,91.04006,3.7,4,yes,,,
92,Glycerol-2-phosphate,C3H9O6P,H-Loss,171.00643,17,16.7,yes,,yes,
93,Glycerol-3-phosphate,C3H9O6P,H-Loss,171.00654,7.7,8,,yes,,
94,Glycine,C2H5NO2,H-Gain,76.03934,8.7,9,yes,,yes,
95,GMP,C10H14N5O8P,M-H,362.05093,18,17.9,,,,
96,GSH,C10H17N3O6S,H-Gain,308.09104,16.4,16.6,yes,yes,yes,
97,GSSG,C20H32N6O12S2,M+H,613.15833,17.2,17.3,yes,,yes,
98,GTP,C10H16N5O14P3,M-H,521.98319,24,25.1,,,yes,
99,Histidine,C6H9N3O2,M+H,156.07679,9.4,9.8,yes,,yes,
100,Homocysteine,C4H9NO2S,M-H,135.03131,8.3,8.3,yes,,yes,
101,2-Hydroxyisocaproic acid,C6H12O3,M-H,131.07133,8.6,8.6,,yes,,
102,Hydroxyproline,C5H9NO3,M+H,132.06557,7.9,8.4,yes,,yes,
103,Hypoxanthine,C5H4N4O,M+H,137.04583,8.3,8.3,yes,,yes,
104,IMP,C10H13N4O8P,M-H,347.04008,18.5,18.3,yes,,yes,
105,Inosine,C10H12N4O5,M+H,269.08812,8.6,8.9,,,,
106,Inositol,C6H12O6,M-H,179.0561,7.4,7.7,yes,,yes,
107,Isocaproic Acid,C6H12O2,M-H,115.07643,8.5,8.5,,,,
108,Isocitrate,,,0,,,yes,,yes,
109,Lactate,C3H6O3,H-Loss,89.0244,10.2,10.6,yes,,yes,
110,Leucine-Isoleucine,C6H13NO2,H-Gain,132.10193,6.4,6.6,yes,,yes,
111,Lysine,C6H14N2O2,H-Gain,147.11284,10.5,10.9,yes,,yes,
112,Malate,C4H6O5,H-Loss,133.0142,16.5,16.7,yes,,yes,
113,Methionine,C5H11NO2S,M+H,150.05839,7.4,7.8,yes,,yes,
114,NAD+,C21H27N7O14P2,H-Gain,664.11591,13.5,13.7,yes,,yes,
115,NADH,C21H29N7O14P2,NA,666.13113,17.5,16.7,yes,,yes,
116,NADP+,C21H28N7O17P3,M-H,742.06963,19,18.7,yes,,yes,
117,NADPH,C21H30N7O17P3,NA,#VALUE!,21.11,NA,yes,,yes,
118,N-Carbamoyl-L-aspartate,C5H8N2O5,NA,175.0357,17,16.7,,,,
119,Nicotinamide,C6H6N2O,M+H,123.05529,2.8,2.8,yes,,yes,
120,Norvaline, C5H11NO2,M-H,116.07163,7.5,7.2,yes,,yes,
121,Ornithine,C5H12N2O2,M+H,133.09714,10.5,10.5,,,yes,
122,Orotate,C5H4N2O4,NA,155.00985,12.8,12.8,yes,,yes,
123,Orotidine,C10H12N2O8,M-H,287.05205,14.1,14.5,,,,
124,Orotidine 5P,C10H13N2O11P,NA,#VALUE!,16.8,NA,,,,
125,Palmitate,C16H32O2,H-Loss,255.23288,5.8,6.1,yes,,,
126,Pantothenic acid (Vitamin B5),C9H17NO5,M-H,218.10338,10.2,10.9,yes,,yes,
127,Phenylalanine,C9H11NO2,H-Gain,166.08629,7.3,7.6,yes,,yes,
128,Phosphate,H3PO4,M-H,96.96954,16.8,17.3,yes,,no,
129,Phosphocholine,C5H14NO4P,H-Gain,184.07335,14.25,14.6,,,,
130,Phosphocreatine,C4H10N3O5P,M+H,212.04317,17,16.7,,yes,,
131,Phosphoenolpyruvate,C3H5O6P,H-Loss,166.97531,20,19.7,yes,,yes,
132,Phosphoethanolamine,C2H8NO4P,M-H,140.01181,15.5,15.6,,,yes,
133,Phosphohydroxypyruvate,C3H5O7P,NA,#VALUE!,7.94,NA,,,,
134,Phosphoserine,C3H8NO6P,H-Loss,184.00174,14.5,14.3,yes,,yes,
135,Pipecolate,C6H11NO2,M+H,130.08631,10.8,10.9,,,,
136,Proline,C5H9NO2,H-Gain,116.07064,7.4,7.8,yes,,yes,
137,PRPP,C5H13O14P3,NA,#VALUE!,22,NA,yes,,,
138,Pseudo-UTP,,,,,,yes,,yes,
139,Pyrophosphate,H4O7P2,M-H,176.93606,24.5,24.6,yes,,yes,
140,Pyruvate,C3H4O3,M-H,87.0087,6.4,6.7,yes,,yes,
141,Ribose,C5H10O5,H-Loss,149.04546,4,4.3,yes,,yes,
142,Ribose-5-phosphate,C5H11O8P,H-Loss,229.01182,16.25,16.7,yes,,yes,
143,Ribulose 5-phosphate,C5H11O8P,H-Loss,229.01182,16.25,16.7,yes,,,
144,S-Adenosyl-L-methionine,C15H22N6O5S,M+H,399.14425,8.8,8.9,,,yes,
145,Sarcosine,C3H7NO2,M+H,90.05499,8.8,8.9,yes,,yes,
146,Sedoheptulose-7-phosphate,C7H15O10P,H-Loss,289.03307,16.4,16.7,yes,,yes,
147,Serine,C3H7NO3,H-Loss,104.03523,9.3,9.7,yes,,yes,
148,Shikimic acid,C7H10O5,M-H,173.04554,16,16.7,,,,
149,Succinate,C4H6O4,H-Loss,117.01931,16.68,16.7,yes,,yes,
150,Succinate Semialdehyde,C4H6O3,NA,147.06638,16.65,16.7,yes,,yes,
151,Succinyl-CoA,,,0,,,,yes,yes,
152,T,C10H14N2O5,M-H,241.08312,3.5,3.4,,,yes,
153,Thiosulfate,H2S2O3,M-H,112.93721,17,16.9,yes,,,
154,Threonine,C4H9NO3,H-Gain,120.06556,8.8,9.3,yes,,yes,
155,Thymine,C5H6N2O2,M-H,125.03561,8.9,9.4,,,,
156,TMP,,,,,,yes,,yes,
157,Trigonelline,C7H7NO2,M+H,138.05499,6.5,6.5,,,,
158,Tryptophan,C11H12N2O2,H-Gain,205.0972,7.3,7.7,yes,,yes,
159,Tyramine,C8H11NO,M+H,138.09134,2.6,2.6,,yes,,
160,Tyrosine,C9H11NO3,H-Gain,182.08121,8.5,9,yes,yes,yes,
161,U,C9H12N2O6,NA,#VALUE!,4.9,NA,,yes,yes,
